eval,key,objective,RMSE,diff_mean,mean_error,diff_std,pearson_r,slope,slope_error,intercept,elapsed_s,D_H,D_C,D_N,D_O,Q_H,Q_C,Q_N,Q_O,error
1,4e624ece8e55,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5900681018829346,1.0,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
2,264833bf4cff,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5598361492156982,0.9549150281252627,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
3,edd6df560a78,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5730195045471191,1.5450849718747368,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
4,659aff10d8d2,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5718216896057129,1.9098300562505255,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
5,4a60dd4a7d74,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.6122264862060547,2.1352549156242113,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
6,e2e81ed6417b,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5662331581115723,2.2745751406263146,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
7,6e9f5902f495,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5651719570159912,2.360679774997897,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
8,17a39835ceda,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5687053203582764,2.4138953656284174,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
9,119bdcaccbc2,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5854177474975586,2.4467844093694797,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
10,ea68b24c00bc,0.35595082141681156,0.4954194090379602,-0.35595082141681156,0.35595082141681156,0.347267485902758,0.9877976824246006,0.9457185682718751,0.05428143172812494,-0.47706348856124503,0.5625042915344238,2.4671109562589377,0.8,0.6,0.2,1.0,2.6,3.4,3.0,
